"Manufacturer","Price","ProductId","ProductName","ProductUrl","RatingSourceValue","RatingType","ReviewCount","ReviewLink","Stock"
"Colgate-Palmolive","11.9","110460","SABONETE LÍQUIDO PROTEX DUO PROTECT FRASCO COM 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-antibacteriano-para-as-maos-duo-protect-frasco-250ml.html","5","5-Star","10","https://www.drogaraia.com.br/protex-sabonete-liquido-antibacteriano-para-as-maos-duo-protect-frasco-250ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","16.9","117989","SABONETE LÍQUIDO PARA MÃOS LIMPEZA PROFUNDA PROTEX ANTIBACTERIANO COM 220ML","https://www.drogaraia.com.br/protex-sabonete-liquido-antibacteriano-para-as-maos-limpeza-profunda-220ml.html",,,,,"OutOfStock"
"Colgate-Palmolive","13.9","84351","SABONETE LÍQUIDO PROTEX BALANCE SAUDÁVEL COM 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-balanceador-250-ml.html","4.7","5-Star","29","https://www.drogaraia.com.br/protex-sabonete-liquido-balanceador-250-ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","21.49","6286","SABONETE ÍNTIMO LÍQUIDO PROTEX CUIDADO ÍNTIMO DELICATE CARE COM 200ML","https://www.drogaraia.com.br/protex-sabonete-liquido-cuidado-intimo-delicate-care-leve-200ml-pague-150ml.html","4.7","5-Star","52","https://www.drogaraia.com.br/protex-sabonete-liquido-cuidado-intimo-delicate-care-leve-200ml-pague-150ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","4.9","95210","SABONETE EM BARRA PROTEX CREAM","https://www.drogaraia.com.br/protex-sabonete-cream-90-g.html","4.8","5-Star","31","https://www.drogaraia.com.br/protex-sabonete-cream-90-g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","13.9","356067","SABONETE LÍQUIDO PROTEX CARVÃO DETOX 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-carvao-detox-250ml.html",,,,,"InStock"
"Colgate-Palmolive","7.92","9324","REFIL SABONETE LÍQUIDO PROTEX BALANCE 200ML","https://www.drogaraia.com.br/protex-sabonete-liquido-balance-refil-200ml.html","4.7","5-Star","109","https://www.drogaraia.com.br/protex-sabonete-liquido-balance-refil-200ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","19.01","110458","SABONETE LÍQUIDO PROTEX ERVA DOCE COM 400ML","https://www.drogaraia.com.br/protex-sabonete-liquido-erva-doce-pump-400ml.html","5","5-Star","7","https://www.drogaraia.com.br/protex-sabonete-liquido-erva-doce-pump-400ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","7.92","33421","REFIL SABONETE LÍQUIDO PROTEX ERVA DOCE COM 200ML","https://www.drogaraia.com.br/protex-sabonete-liquido-erva-doce-refil-200ml.html","4.9","5-Star","128","https://www.drogaraia.com.br/protex-sabonete-liquido-erva-doce-refil-200ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","6.49","33698","SABONETE LÍQUIDO ÍNTIMO PROTEX CUIDADO ÍNTIMO DELICATE CARE COM 40ML","https://www.drogaraia.com.br/protex-sabonete-liquido-intimo-delicate-care-40ml.html","4.6","5-Star","31","https://www.drogaraia.com.br/protex-sabonete-liquido-intimo-delicate-care-40ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","13.9","50970","SABONETE LÍQUIDO ANTIBACTERIANO CORPORAL PROTEX ERVA DOCE COM 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-erva-doce-250-ml.html","4.8","5-Star","66","https://www.drogaraia.com.br/protex-sabonete-liquido-erva-doce-250-ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","16.9","110455","SPRAY ANTIBACTERIANO PARA MÃOS PROTEX DUO PROTECT COM 300ML","https://www.drogaraia.com.br/protex-sabonete-liquido-higienizador-spray-antibac-para-as-maos-duo-protect-frasco-300ml.html","5","5-Star","5","https://www.drogaraia.com.br/protex-sabonete-liquido-higienizador-spray-antibac-para-as-maos-duo-protect-frasco-300ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","10.9","41174","REFIL SABONETE LÍQUIDO ÍNTIMO PROTEX DELICATE CARE","https://www.drogaraia.com.br/protex-sabonete-liquido-intimo-delicate-care-refil-140ml.html","4.9","5-Star","60","https://www.drogaraia.com.br/protex-sabonete-liquido-intimo-delicate-care-refil-140ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","21.24","339428","SABONETE LIQUIDO PROTEX MEN SPORT 650ML","https://www.drogaraia.com.br/protex-sabonete-liquido-men-sport-650ml.html",,,,,"InStock"
"Colgate-Palmolive","13.9","7268","SABONETE LÍQUIDO CORPORAL PROTEX MEN 3 EM 1 COM 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-men-triple-action-250-ml.html","4.7","5-Star","71","https://www.drogaraia.com.br/protex-sabonete-liquido-men-triple-action-250-ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","13.9","6285","SABONETE LÍQUIDO CORPORAL PROTEX MACADÂMIA COM 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-250ml.html","4.9","5-Star","61","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-250ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","21.24","339427","SABONETE LÍQUIDO ANTIBACTERIANO PROTEX CREAM 650ML","https://www.drogaraia.com.br/protex-sabonete-liquido-cream-650ml.html",,,,,"InStock"
"Colgate-Palmolive","34.39","117393","SABONETE LÍQUIDO FACIAL PROTEX CITY DETOX COM 150ML","https://www.drogaraia.com.br/protex-sabonete-liquido-facial-city-detox-150ml.html","4.5","5-Star","4","https://www.drogaraia.com.br/protex-sabonete-liquido-facial-city-detox-150ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","13.9","19882","SABONETE LÍQUIDO PROTEX PRO-HIDRATA AMÊNDOA COM 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-amendoa-250ml.html","4.9","5-Star","57","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-amendoa-250ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","15.66","402193","SABONETE LÍQUIDO PROTEX PRO REGENERAÇÃO 230ML","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-regeneracao-230ml.html",,,,,"InStock"
"Colgate-Palmolive","4.9","39487","SABONETE EM BARRA PROTEX MEN ENERGY","https://www.drogaraia.com.br/protex-sabonete-men-energy-90-g.html","4.8","5-Star","22","https://www.drogaraia.com.br/protex-sabonete-men-energy-90-g.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","7.92","6283","REFIL SABONETE LÍQUIDO CORPORAL PROTEX MACADÂMIA COM 200ML","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-refil-200ml.html","4.8","5-Star","159","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-refil-200ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","15.66","402197","SABONETE LÍQUIDO PROTEX PRO HIDRATAÇÃO 230ML","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidratacao-230ml.html",,,,,"InStock"
"Colgate-Palmolive","4.9","7271","SABONETE EM BARRA PROTEX MEN 3 EM 1","https://www.drogaraia.com.br/protex-sabonete-men-triple-action-90-g.html","4.7","5-Star","33","https://www.drogaraia.com.br/protex-sabonete-men-triple-action-90-g.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","13.9","19884","SABONETE LÍQUIDO PROTEX PRO-HIDRATA ARGAN","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-argan-250ml.html","4.9","5-Star","29","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-hidrata-argan-250ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","7.92","3245","REFIL SABONETE LÍQUIDO CORPORAL PROTEX NUTRI PROTECT VITAMINA E COM 200ML","https://www.drogaraia.com.br/protex-sabonete-liquido-vitamina-e-200-ml-refil.html","4.8","5-Star","202","https://www.drogaraia.com.br/protex-sabonete-liquido-vitamina-e-200-ml-refil.html#trustvox-reviews","InStock"
"Colgate-Palmolive","15.66","623963","SABONETE LÍQUIDO PROTEX PRO TATTOO SHOWER GEL 230ML","https://www.drogaraia.com.br/protex-sabonete-liquido-pro-tatoo-230ml.html",,,,,"InStock"
"Colgate-Palmolive","21.24","339423","SABONETE LÍQUIDO ANTIBACTERIANO PROTEX NUTRI PROTECT VITAMINA E 650ML","https://www.drogaraia.com.br/protex-sabonete-liquido-vitamina-e-650ml.html",,,,,"InStock"
"Colgate-Palmolive","22.9","117992","AEROSSOL CORPORAL PROTEX DUO PROTECT COM 185ML","https://www.drogaraia.com.br/protex-spray-aerosol-corporal-antibac-duo-protect-185ml.html",,,,,"OutOfStock"
"Colgate-Palmolive","13.9","19646","SABONETE LÍQUIDO CORPORAL PROTEX VITAMINA E 250ML","https://www.drogaraia.com.br/protex-sabonete-liquido-vitamina-e-250-ml.html","4.9","5-Star","122","https://www.drogaraia.com.br/protex-sabonete-liquido-vitamina-e-250-ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","7.9","53232","SABONETE EM BARRA FACIAL PROTEX OIL CONTROL","https://www.drogaraia.com.br/protex-sabonete-oil-control-85g.html","4.4","5-Star","8","https://www.drogaraia.com.br/protex-sabonete-oil-control-85g.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","6.9","79280","SABONETE EM BARRA PROTEX ERVA DOCE","https://www.drogaraia.com.br/sabonete-em-barra-protex-erva-doce.html","4.7","5-Star","6","https://www.drogaraia.com.br/sabonete-em-barra-protex-erva-doce.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","6.9","76162","SABONETE EM BARRA PROTEX VITAMINA E","https://www.drogaraia.com.br/protex-sabonete-vitamina-e-200g.html","4.4","5-Star","5","https://www.drogaraia.com.br/protex-sabonete-vitamina-e-200g.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","17.11","9323","KIT SABONETE EM BARRA PROTEX BALANCE SAUDÁVEL COM 6 UNIDADES DE 85G CADA","https://www.drogaraia.com.br/sabonete-protex-balance-saudvel-90g-leve-6-pague-5.html","4.9","5-Star","52","https://www.drogaraia.com.br/sabonete-protex-balance-saudvel-90g-leve-6-pague-5.html#trustvox-reviews","InStock"
"Colgate-Palmolive","8.93","117277","SABONETE LÍQUIDO PALMOLIVE LUMINOUS OIL ABACATE E ÍRIS COM 250ML","https://www.drogaraia.com.br/sabonete-liquido-palmolive-luminous-oil-abacate-e-iris-250ml.html","4.8","5-Star","36","https://www.drogaraia.com.br/sabonete-liquido-palmolive-luminous-oil-abacate-e-iris-250ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","6.9","45045","GEL DENTAL INFANTIL COLGATE TANDY UVA 50G","https://www.drogaraia.com.br/tandy-creme-dental-em-gel-uva-50g.html",,,,,"InStock"
"Galderma","54.9","82610","LOÇÃO DE LIMPEZA FACIAL CETAPHIL PELE SECA E SENSÍVEL COM 120ML","https://www.drogaraia.com.br/cetaphil-locao-limpeza-de-pele-120-ml.html","4.9","5-Star","20","https://www.drogaraia.com.br/cetaphil-locao-limpeza-de-pele-120-ml.html#trustvox-reviews","InStock"
"Galderma","119.9","242725","SÉRUM RENOVADOR ÁREA DOS OLHOS CETAPHIL OPTIMAL HYDRATION COM 15ML","https://www.drogaraia.com.br/cetaphil-optimal-hydration-serum-renovador-para-a-area-dos-olhos-15ml.html",,,,,"InStock"
"Colgate-Palmolive","8.93","117276","SABONETE LÍQUIDO PALMOLIVE LUMINOUS OIL FIGO E ORQUÍDEA BRANCA COM 250ML","https://www.drogaraia.com.br/sabonete-liquido-palmolive-luminous-oil-figo-e-orquidea-250ml.html","4.8","5-Star","39","https://www.drogaraia.com.br/sabonete-liquido-palmolive-luminous-oil-figo-e-orquidea-250ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","28.9","78446","PASTA DE DENTE COLGATE ORTHOGARD COM 90G","https://www.drogaraia.com.br/colgate-creme-dental-orthogard-90g.html","4.9","5-Star","23","https://www.drogaraia.com.br/colgate-creme-dental-orthogard-90g.html#trustvox-reviews","InStock"
"Galderma","94.9","15700","PROTETOR SOLAR FACIAL E CORPORAL CETAPHIL SUN LOÇÃO LIPOSSOMAL FPS50 COM 150ML","https://www.drogaraia.com.br/cetaphil-sun-protetor-solar-fps-50-pele-sensivel-150ml.html","5","5-Star","6","https://www.drogaraia.com.br/cetaphil-sun-protetor-solar-fps-50-pele-sensivel-150ml.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","18.9","3411","PASTA DE DENTE COLGATE LUMINOUS WHITE ADVANCED EXPERT COM FLÚOR DE 70G","https://www.drogaraia.com.br/colgate-creme-dental-luminous-white-advanced-70g.html","4.7","5-Star","55","https://www.drogaraia.com.br/colgate-creme-dental-luminous-white-advanced-70g.html#trustvox-reviews","OutOfStock"
"Galderma","124.9","242741","SÉRUM HIDRATANTE FACIAL CETAPHIL OPTIMAL HYDRATION 48H COM 30ML","https://www.drogaraia.com.br/cetaphil-optimal-hydration-serum-hidratante-facial-48h-30ml.html",,,,,"InStock"
"Galderma","134.9","242709","CETAPHIL HIDRATANTE FACIAL OPTIMAL HYDRATION CREME COM 48G","https://www.drogaraia.com.br/cetaphil-optimal-hydration-creme-facial-48g.html",,,,,"InStock"
"Colgate-Palmolive","4.9","70540","PASTA DE DENTE COLGATE MÁXIMA PROTEÇÃO ANTICÁRIES COM FLÚOR MENTA REFRESCANTE COM 50G","https://www.drogaraia.com.br/colgate-creme-dental-mpa-maxima-protecao-anti-caries-menta-50-g.html","4.7","5-Star","81","https://www.drogaraia.com.br/colgate-creme-dental-mpa-maxima-protecao-anti-caries-menta-50-g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","13.9","117274","PASTA DE DENTE COLGATE NATURAL EXTRACTS DEFESA REFORÇADA COM 140G","https://www.drogaraia.com.br/colgate-creme-dental-naturals-extracts-defesa-reforcada-140g.html","5","5-Star","1","https://www.drogaraia.com.br/colgate-creme-dental-naturals-extracts-defesa-reforcada-140g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","13.9","117275","PASTA DE DENTE COLGATE NATURAL EXTRACTS CARVÃO ATIVADO E MENTA COM 140G","https://www.drogaraia.com.br/colgate-creme-dental-naturals-extracts-purificante-140g.html","4.9","5-Star","29","https://www.drogaraia.com.br/colgate-creme-dental-naturals-extracts-purificante-140g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","17.9","117981","PASTA DE DENTE COLGATE SENSITIVE PRO-ALÍVIO IMEDIATO GENGIVA COM 140G","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-imediato-gengiva-140g.html","5","5-Star","2","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-imediato-gengiva-140g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","7.9","5695","PASTA DE DENTE COLGATE LUMINOUS WHITE BRILLIANT MINT COM 70G","https://www.drogaraia.com.br/colgate-creme-dental-luminous-white-brilhante-70g.html","4.6","5-Star","36","https://www.drogaraia.com.br/colgate-creme-dental-luminous-white-brilhante-70g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","13.9","50441","PASTA DE DENTE COLGATE SENSITIVE PRO-ALÍVIO IMEDIATO COM 90G","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-relief-white-90g.html","4.8","5-Star","35","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-relief-white-90g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","17.9","79718","PASTA DE DENTE COLGATE SENSITIVE PRO-ALÍVIO IMEDIATO COM 140G","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-imediato-original-140g.html","4.9","5-Star","38","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-imediato-original-140g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","17.9","59506","PASTA DE DENTE COLGATE SENSITIVE PRO-ALÍVIO REPARA ESMALTE COM 110G","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-repara-esmalte-110-g.html","4.8","5-Star","100","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-repara-esmalte-110-g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","13.9","50442","PASTA DE DENTE COLGATE SENSITIVE PRO-ALÍVIO IMEDIATO ORIGINAL COM 90G","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-imediato-original-90g.html","4.7","5-Star","49","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-pro-alivio-imediato-original-90g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","14.9","7312","PASTA DE DENTE COLGATE MÁXIMA PROTEÇÃO ANTICÁRIES MAIS NEUTRAÇUCAR COM 3 UNIDADES","https://www.drogaraia.com.br/colgate-creme-dental-mpa-neutraucar-70-gr-leve-3-pague-2.html","4.5","5-Star","106","https://www.drogaraia.com.br/colgate-creme-dental-mpa-neutraucar-70-gr-leve-3-pague-2.html#trustvox-reviews","InStock"
"Colgate-Palmolive","11.9","15600","PASTA DE DENTE COLGATE SENSITIVE PRO-ALÍVIO REPARA ESMALTE COM 50G","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-repara-esmalte-50g.html","4.8","5-Star","4","https://www.drogaraia.com.br/colgate-creme-dental-sensitive-repara-esmalte-50g.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","9.9","63166","PASTA DE DENTE COLGATE TOTAL 12 ADVANCED FRESH COM 90G","https://www.drogaraia.com.br/colgate-creme-dental-total-12-advanced-fresh-gel-90g.html","4.8","5-Star","104","https://www.drogaraia.com.br/colgate-creme-dental-total-12-advanced-fresh-gel-90g.html#trustvox-reviews","InStock"
"Colgate-Palmolive","9.9","14621","PASTA DE DENTE COLGATE TOTAL 12 CLEAN MINT COM 90G","https://www.drogaraia.com.br/colgate-creme-dental-total-12-clean-mint-90g.html","4.6","5-Star","55","https://www.drogaraia.com.br/colgate-creme-dental-total-12-clean-mint-90g.html#trustvox-reviews","InStock"
"Galderma","84.9","15668","PROTETOR SOLAR FACIAL CETAPHIL SUN PELE OLEOSA GEL CREME FPS 70 COM 50ML","https://www.drogaraia.com.br/cetaphil-sun-protetor-solar-fps-70-ultra-matte-oil-control-50ml.html","4.8","5-Star","14","https://www.drogaraia.com.br/cetaphil-sun-protetor-solar-fps-70-ultra-matte-oil-control-50ml.html#trustvox-reviews","InStock"
"Colgate-Palmolive","9.9","17053","PASTA DE DENTE COLGATE TOTAL 12 PROFESSIONAL WHITENING COM 70G","https://www.drogaraia.com.br/colgate-creme-dental-total-12-professional-whitening-70-gr.html","4.7","5-Star","41","https://www.drogaraia.com.br/colgate-creme-dental-total-12-professional-whitening-70-gr.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","9.9","19652","PASTA DE DENTE COLGATE TOTAL 12 PROFESSIONAL GENGIVA SAUDÁVEL COM 70G","https://www.drogaraia.com.br/colgate-creme-dental-total-12-gum-helth-com-70g.html","4.7","5-Star","46","https://www.drogaraia.com.br/colgate-creme-dental-total-12-gum-helth-com-70g.html#trustvox-reviews","OutOfStock"
"Colgate-Palmolive","12.9","80479","PASTA DE DENTE COLGATE TOTAL 12 CLEAN MINT COM FLÚOR DE 140G","https://www.drogaraia.com.br/colgate-creme-dental-total-12-clean-mint-140g.html","5","5-Star","18","https://www.drogaraia.com.br/colgate-creme-dental-total-12-clean-mint-140g.html#trustvox-reviews","InStock"
